觀測月份,觀測站,當月資料缺漏超過1日,降雨量
"2017-05","畜產試驗所","","XXX"
"2017-04","畜產試驗所","*","106.5"
"2017-03","畜產試驗所","","6"
"2017-02","畜產試驗所","*","1.5"
"2017-01","畜產試驗所","*","0"
"2016-12","畜產試驗所","","XXX"
"2016-11","畜產試驗所","*","62"
"2016-10","畜產試驗所","*","79.5"
"2016-09","畜產試驗所","*","1319"
"2016-08","畜產試驗所","","198.5"
"2016-07","畜產試驗所","*","410.5"
"2016-06","畜產試驗所","*","505"
"2016-05","畜產試驗所","*","96.5"
"2016-04","畜產試驗所","*","249"
"2016-03","畜產試驗所","","96.5"
"2016-02","畜產試驗所","","14"
"2016-01","畜產試驗所","","200"
"2015-12","畜產試驗所","","20.5"
"2015-11","畜產試驗所","","0"
"2015-10","畜產試驗所","","130"
"2015-09","畜產試驗所","","205.5"
"2015-08","畜產試驗所","*","647"
"2015-07","畜產試驗所","","369"
"2015-06","畜產試驗所","","2.5"
"2015-05","畜產試驗所","","435.5"
"2015-04","畜產試驗所","","49"
"2015-03","畜產試驗所","","0"
"2015-02","畜產試驗所","","26.5"
"2015-01","畜產試驗所","","10.5"
"2014-12","畜產試驗所","*","12"
"2014-11","畜產試驗所","","0"
"2014-10","畜產試驗所","*","16.5"
"2014-09","畜產試驗所","","187"
"2014-08","畜產試驗所","","608.5"
"2014-07","畜產試驗所","","203"
"2014-06","畜產試驗所","","214.5"
"2014-05","畜產試驗所","*","158.5"
"2014-04","畜產試驗所","*","14"
"2014-03","畜產試驗所","*","38.5"
"2014-02","畜產試驗所","*","15"
"2014-01","畜產試驗所","","0"
"2013-12","畜產試驗所","*","30.5"
"2013-11","畜產試驗所","","7"
"2013-10","畜產試驗所","*","0"
"2013-09","畜產試驗所","","99.5"
"2013-08","畜產試驗所","*","1310.5"
"2013-07","畜產試驗所","","228.5"
"2013-06","畜產試驗所","","186"
"2013-05","畜產試驗所","","277"
"2013-04","畜產試驗所","","137.5"
"2013-03","畜產試驗所","","18.5"
"2013-02","畜產試驗所","","0"
"2013-01","畜產試驗所","","9.5"
"2012-12","畜產試驗所","","26"
"2012-11","畜產試驗所","","97.5"
"2012-10","畜產試驗所","","2"
"2012-09","畜產試驗所","","51.5"
"2012-08","畜產試驗所","","631"
"2012-07","畜產試驗所","","149.5"
"2012-06","畜產試驗所","","895"
"2012-05","畜產試驗所","*","203.5"
"2012-04","畜產試驗所","","143"
"2012-03","畜產試驗所","","6.5"
"2012-02","畜產試驗所","","35.5"
"2012-01","畜產試驗所","","7.5"
"2011-12","畜產試驗所","","9.5"
"2011-11","畜產試驗所","","191.5"
"2011-10","畜產試驗所","","39.5"
"2011-09","畜產試驗所","","65.5"
"2011-08","畜產試驗所","*","250"
"2011-07","畜產試驗所","","252.5"
"2011-06","畜產試驗所","","238"
"2011-05","畜產試驗所","","61.5"
"2011-04","畜產試驗所","","31"
"2011-03","畜產試驗所","","7.5"
"2011-02","畜產試驗所","","10.5"
"2011-01","畜產試驗所","","9.5"
"2010-12","畜產試驗所","","19.5"
"2010-11","畜產試驗所","","57"
"2010-10","畜產試驗所","","39"
"2010-09","畜產試驗所","","734.5"
"2010-08","畜產試驗所","","206.5"
"2010-07","畜產試驗所","","624.5"
"2010-06","畜產試驗所","","257"
"2010-05","畜產試驗所","","189.5"
"2010-04","畜產試驗所","","40"
"2010-03","畜產試驗所","","0.5"
"2010-02","畜產試驗所","","36"
"2010-01","畜產試驗所","","14"
"2023-03","班鳩分場","","18"
"2023-02","班鳩分場","","29"
"2023-01","班鳩分場","","22.5"
"2022-12","班鳩分場","","15.5"
"2022-11","班鳩分場","","63.5"
"2022-10","班鳩分場","","352"
"2022-09","班鳩分場","","103.5"
"2022-08","班鳩分場","","188"
"2022-07","班鳩分場","","31.5"
"2022-06","班鳩分場","*","173"
"2022-05","班鳩分場","","174"
"2022-04","班鳩分場","","221.5"
"2022-03","班鳩分場","","31"
"2022-02","班鳩分場","","62.5"
"2022-01","班鳩分場","","128.5"
"2021-12","班鳩分場","","38"
"2021-11","班鳩分場","","47"
"2021-10","班鳩分場","","709"
"2021-09","班鳩分場","","122.5"
"2021-08","班鳩分場","","348.5"
"2021-07","班鳩分場","","115.5"
"2021-06","班鳩分場","","176"
"2021-05","班鳩分場","","107.5"
"2021-04","班鳩分場","","59.5"
"2017-12","溪頭營林區","","31.5"
"2017-11","溪頭營林區","","50.5"
"2017-10","溪頭營林區","","78"
"2017-09","溪頭營林區","","94.5"
"2017-08","溪頭營林區","","127.5"
"2017-07","溪頭營林區","","522"
"2017-06","溪頭營林區","","1244.5"
"2017-05","溪頭營林區","*","184.5"
"2017-04","溪頭營林區","","236.5"
"2017-03","溪頭營林區","","72.5"
"2017-02","溪頭營林區","","12.5"
"2017-01","溪頭營林區","*","1"
"2016-12","溪頭營林區","*","24.5"
"2016-11","溪頭營林區","*","102"
"2016-10","溪頭營林區","","83.5"
"2016-09","溪頭營林區","","689"
"2016-08","溪頭營林區","","238.5"
"2016-07","溪頭營林區","*","233.5"
"2016-06","溪頭營林區","*","379"
"2016-05","溪頭營林區","","XXX"
"2016-04","溪頭營林區","","XXX"
"2016-03","溪頭營林區","","XXX"
"2016-02","溪頭營林區","","XXX"
"2016-01","溪頭營林區","","XXX"
"2015-12","溪頭營林區","","XXX"
"2015-11","溪頭營林區","","XXX"
"2015-10","溪頭營林區","","XXX"
"2015-09","溪頭營林區","","XXX"
"2015-08","溪頭營林區","","XXX"
"2015-07","溪頭營林區","","XXX"
"2015-06","溪頭營林區","","XXX"
"2015-05","溪頭營林區","","XXX"
"2015-04","溪頭營林區","","XXX"
"2015-03","溪頭營林區","","XXX"
"2015-02","溪頭營林區","","XXX"
"2015-01","溪頭營林區","","XXX"
"2014-12","溪頭營林區","","XXX"
"2014-11","溪頭營林區","","XXX"
"2014-10","溪頭營林區","","XXX"
"2014-09","溪頭營林區","","XXX"
"2014-08","溪頭營林區","","XXX"
"2014-07","溪頭營林區","","XXX"
"2014-06","溪頭營林區","","XXX"
"2014-05","溪頭營林區","","598.5"
"2014-04","溪頭營林區","","51.5"
"2014-03","溪頭營林區","*","91"
"2014-02","溪頭營林區","","64"
"2014-01","溪頭營林區","","0"
"2013-12","溪頭營林區","","105.5"
"2013-11","溪頭營林區","","30.5"
"2013-10","溪頭營林區","*","28"
"2013-09","溪頭營林區","*","188.5"
"2013-08","溪頭營林區","","無資料"
"2013-07","溪頭營林區","","無資料"
"2013-06","溪頭營林區","","127.5"
"2013-05","溪頭營林區","","490.5"
"2013-04","溪頭營林區","","290"
"2013-03","溪頭營林區","*","39.5"
"2013-02","溪頭營林區","","無資料"
"2013-01","溪頭營林區","","無資料"
"2012-12","溪頭營林區","","無資料"
"2012-11","溪頭營林區","","166.5"
"2012-10","溪頭營林區","","11.5"
"2012-09","溪頭營林區","","96.5"
"2012-08","溪頭營林區","","1006.5"
"2012-07","溪頭營林區","","150.5"
"2012-06","溪頭營林區","","729"
"2012-05","溪頭營林區","","459"
"2012-04","溪頭營林區","","279"
"2012-03","溪頭營林區","","27"
"2012-02","溪頭營林區","","96"
"2012-01","溪頭營林區","","81"
"2011-12","溪頭營林區","","43.5"
"2011-11","溪頭營林區","","210"
"2011-10","溪頭營林區","","102"
"2011-09","溪頭營林區","","54.5"
"2011-08","溪頭營林區","","233"
"2011-07","溪頭營林區","","239.5"
"2011-06","溪頭營林區","","238.5"
"2011-05","溪頭營林區","","359"
"2011-04","溪頭營林區","","21.5"
"2011-03","溪頭營林區","","62"
"2011-02","溪頭營林區","","27"
"2011-01","溪頭營林區","","84"
"2010-12","溪頭營林區","","56.5"
"2010-11","溪頭營林區","","75.5"
"2010-10","溪頭營林區","","43.5"
"2010-09","溪頭營林區","","334.5"
"2010-08","溪頭營林區","","265.5"
"2010-07","溪頭營林區","","164.5"
"2010-06","溪頭營林區","","295.5"
"2010-05","溪頭營林區","","218"
"2010-04","溪頭營林區","","199.5"
"2010-03","溪頭營林區","","20.5"
"2010-02","溪頭營林區","","85"
"2010-01","溪頭營林區","","52"
"2023-03","溪口農場","","4.5"
"2023-02","溪口農場","","0"
"2023-01","溪口農場","","8.5"
"2022-12","溪口農場","","25.5"
"2022-11","溪口農場","","3"
"2022-10","溪口農場","","4"
"2022-09","溪口農場","","37"
"2022-08","溪口農場","","337.5"
"2022-07","溪口農場","","78"
"2022-06","溪口農場","","279.5"
"2022-05","溪口農場","","269.5"
"2022-04","溪口農場","","56"
"2022-03","溪口農場","","95.5"
"2022-02","溪口農場","","90.5"
"2022-01","溪口農場","","27.5"
"2021-12","溪口農場","","24.5"
"2021-11","溪口農場","","6"
"2021-10","溪口農場","","7"
"2021-09","溪口農場","","22.5"
"2021-08","溪口農場","","635"
"2021-07","溪口農場","","149"
"2021-06","溪口農場","","691"
"2021-05","溪口農場","","115"
"2021-04","溪口農場","","32"
"2023-03","桃改新埔工作站","","25.5"
"2023-02","桃改新埔工作站","","12"
"2023-01","桃改新埔工作站","","5"
"2022-12","桃改新埔工作站","","41.5"
"2022-11","桃改新埔工作站","","74.5"
"2022-10","桃改新埔工作站","","55"
"2022-09","桃改新埔工作站","","278"
"2022-08","桃改新埔工作站","","47.5"
"2022-07","桃改新埔工作站","","24.5"
"2022-06","桃改新埔工作站","","281"
"2022-05","桃改新埔工作站","","482.5"
"2022-04","桃改新埔工作站","","122"
"2022-03","桃改新埔工作站","","248"
"2022-02","桃改新埔工作站","","227.5"
"2022-01","桃改新埔工作站","","78.5"
"2021-12","桃改新埔工作站","","55"
"2021-11","桃改新埔工作站","","44"
"2021-10","桃改新埔工作站","","101"
"2021-09","桃改新埔工作站","","29.5"
"2021-08","桃改新埔工作站","","304.5"
"2021-07","桃改新埔工作站","","188.5"
"2021-06","桃改新埔工作站","","116.5"
"2021-05","桃改新埔工作站","","133.5"
"2021-04","桃改新埔工作站","","57"
"2021-03","桃改新埔工作站","","103"
"2021-02","桃改新埔工作站","","43.5"
"2021-01","桃改新埔工作站","","21"
"2020-12","桃改新埔工作站","","無資料"
"2020-11","桃改新埔工作站","","無資料"
"2023-03","桃改台北分場","","29.5"
"2023-02","桃改台北分場","","22"
"2023-01","桃改台北分場","","17"
"2022-12","桃改台北分場","","86.5"
"2022-11","桃改台北分場","","117"
"2022-10","桃改台北分場","","346.5"
"2022-09","桃改台北分場","","265.5"
"2022-08","桃改台北分場","","86.5"
"2022-07","桃改台北分場","","194.5"
"2022-06","桃改台北分場","","252.5"
"2022-05","桃改台北分場","","503"
"2022-04","桃改台北分場","","91.5"
"2022-03","桃改台北分場","","215"
"2022-02","桃改台北分場","*","259.5"
"2022-01","桃改台北分場","","116"
"2021-12","桃改台北分場","","67"
"2021-11","桃改台北分場","","110.5"
"2021-10","桃改台北分場","","333.5"
"2021-09","桃改台北分場","","112"
"2021-08","桃改台北分場","","443.5"
"2021-07","桃改台北分場","","445.5"
"2021-06","桃改台北分場","*","303"
"2021-05","桃改台北分場","","103.5"
"2021-04","桃改台北分場","","62.5"
"2021-03","桃改台北分場","","95"
"2021-02","桃改台北分場","","42"
"2021-01","桃改台北分場","","68.5"
"2020-12","桃改台北分場","","無資料"
"2020-11","桃改台北分場","","無資料"
"2023-03","桃園農改場","","31.5"
"2023-02","桃園農改場","","57"
"2023-01","桃園農改場","","14.5"
"2022-12","桃園農改場","","68"
"2022-11","桃園農改場","","109"
"2022-10","桃園農改場","","184"
"2022-09","桃園農改場","","72.5"
"2022-08","桃園農改場","","47"
"2022-07","桃園農改場","","39"
"2022-06","桃園農改場","","272.5"
"2022-05","桃園農改場","","421.5"
"2022-04","桃園農改場","","55.5"
"2022-03","桃園農改場","","192"
"2022-02","桃園農改場","","244.5"
"2022-01","桃園農改場","","79"
"2021-12","桃園農改場","","88"
"2021-11","桃園農改場","","50"
"2021-10","桃園農改場","","113"
"2021-09","桃園農改場","","11"
"2021-08","桃園農改場","","224.5"
"2021-07","桃園農改場","","84.5"
"2021-06","桃園農改場","","165.5"
"2021-05","桃園農改場","","86.5"
"2021-04","桃園農改場","","58"
"2021-03","桃園農改場","","113.5"
"2021-02","桃園農改場","","63"
"2021-01","桃園農改場","","36"
"2020-12","桃園農改場","","79"
"2020-11","桃園農改場","","17"
"2020-10","桃園農改場","","18.5"
"2020-09","桃園農改場","","112.5"
"2020-08","桃園農改場","","134"
"2020-07","桃園農改場","","13"
"2020-06","桃園農改場","","13"
"2019-12","桃園農改場","*","183.5"
"2019-11","桃園農改場","","21.5"
"2019-10","桃園農改場","*","6.5"
"2019-09","桃園農改場","*","163.5"
"2019-08","桃園農改場","*","287.5"
"2019-07","桃園農改場","*","17"
"2019-06","桃園農改場","*","312"
"2019-05","桃園農改場","","586.5"
"2019-04","桃園農改場","*","122.5"
"2019-03","桃園農改場","","229"
"2019-02","桃園農改場","*","64.5"
"2019-01","桃園農改場","","43.5"
"2018-12","桃園農改場","*","58"
"2018-11","桃園農改場","","27.5"
"2018-10","桃園農改場","","XXX"
"2018-09","桃園農改場"," ","   XXX"
"2018-08","桃園農改場","*","103"
"2018-07","桃園農改場","","XXX"
"2018-06","桃園農改場","","XXX"
"2018-05","桃園農改場"," ","   XXX"
"2018-04","桃園農改場","*","19.5"
"2018-03","桃園農改場","","XXX"
"2018-02","桃園農改場","","XXX"
"2018-01","桃園農改場","","XXX"
"2017-12","桃園農改場","","XXX"
"2017-11","桃園農改場","*","38"
"2017-10","桃園農改場","*","140"
"2017-09","桃園農改場","*","7"
"2017-08","桃園農改場","*","4"
"2017-07","桃園農改場","*","15.5"
"2017-06","桃園農改場","*","530"
"2017-05","桃園農改場","*","29.5"
"2017-04","桃園農改場","*","46"
"2017-03","桃園農改場","*","58.5"
"2017-02","桃園農改場","*","41.5"
"2017-01","桃園農改場","","XXX"
"2016-12","桃園農改場","*","6"
"2016-11","桃園農改場","","111.5"
"2016-10","桃園農改場","","XXX"
"2016-09","桃園農改場","*","109.5"
"2016-08","桃園農改場","","XXX"
"2016-07","桃園農改場","*","8.5"
"2016-06","桃園農改場","*","262"
"2016-05","桃園農改場","*","83.5"
"2016-04","桃園農改場","","XXX"
"2016-03","桃園農改場","","XXX"
"2016-02","桃園農改場","","XXX"
"2016-01","桃園農改場","","291.5"
"2015-12","桃園農改場","*","91.5"
"2015-11","桃園農改場","*","5"
"2015-10","桃園農改場","*","73"
"2015-09","桃園農改場","*","112.5"
"2015-08","桃園農改場","*","172.5"
"2015-07","桃園農改場","","15"
"2015-06","桃園農改場","*","XXX"
"2015-05","桃園農改場","*","70"
"2015-04","桃園農改場","*","123"
"2015-03","桃園農改場","*","118"
"2015-02","桃園農改場","*","5"
"2015-01","桃園農改場","*","18.5"
"2014-12","桃園農改場","","63"
"2014-11","桃園農改場","*","29"
"2014-10","桃園農改場","","12"
"2014-09","桃園農改場","","0"
"2014-08","桃園農改場","","28.5"
"2014-07","桃園農改場","","35.5"
"2014-06","桃園農改場","*","154.5"
"2014-05","桃園農改場","*","364.5"
"2014-04","桃園農改場","*","92"
"2014-03","桃園農改場","","97.5"
"2014-02","桃園農改場","","160.5"
"2014-01","桃園農改場","","9"
"2013-12","桃園農改場","*","73.5"
"2013-11","桃園農改場","*","33.5"
"2013-10","桃園農改場","*","6.5"
"2013-09","桃園農改場","*","31.5"
"2013-08","桃園農改場","*","353"
"2013-07","桃園農改場","*","2"
"2013-06","桃園農改場","","45.5"
"2013-05","桃園農改場","","383.3"
"2013-04","桃園農改場","","266"
"2013-03","桃園農改場","","85.5"
"2013-02","桃園農改場","","42"
"2013-01","桃園農改場","*","68.5"
"2012-12","桃園農改場","*","37.5"
"2012-11","桃園農改場","","無資料"
"2012-10","桃園農改場","","34.5"
"2012-09","桃園農改場","","60"
"2012-08","桃園農改場","","398.5"
"2012-07","桃園農改場","","53"
"2012-06","桃園農改場","*","158"
"2012-05","桃園農改場","","212"
"2012-04","桃園農改場","*","164.5"
"2012-03","桃園農改場","","50"
"2012-02","桃園農改場","","133"
"2012-01","桃園農改場","","119"
"2011-12","桃園農改場","*","71.5"
"2011-11","桃園農改場","","289.5"
"2011-10","桃園農改場","","73.5"
"2011-09","桃園農改場","*","13.5"
"2011-08","桃園農改場","","31"
"2011-07","桃園農改場","","443"
"2011-06","桃園農改場","","191"
"2011-05","桃園農改場","","264"
"2011-04","桃園農改場","","27"
"2011-03","桃園農改場","","82.5"
"2011-02","桃園農改場","","57.5"
"2011-01","桃園農改場","","63.5"
"2010-12","桃園農改場","","56"
"2010-11","桃園農改場","","29.5"
"2010-10","桃園農改場","","75"
"2010-09","桃園農改場","","92"
"2010-08","桃園農改場","","138.5"
"2010-07","桃園農改場","","39"
"2010-06","桃園農改場","","144.5"
"2010-05","桃園農改場","","179"
"2010-04","桃園農改場","","125.5"
"2010-03","桃園農改場","","91"
"2010-02","桃園農改場","*","180"
"2010-01","桃園農改場","","92.5"
"2023-03","桃園茶改場","","38"
"2023-02","桃園茶改場","","39.5"
"2023-01","桃園茶改場","","32"
"2022-12","桃園茶改場","","117.5"
"2022-11","桃園茶改場","","136"
"2022-10","桃園茶改場","","279.5"
"2022-09","桃園茶改場","","500"
"2022-08","桃園茶改場","","185.5"
"2022-07","桃園茶改場","","58"
"2022-06","桃園茶改場","","262"
"2022-05","桃園茶改場","","586"
"2022-04","桃園茶改場","","111.5"
"2022-03","桃園茶改場","","278.5"
"2022-02","桃園茶改場","","329.5"
"2022-01","桃園茶改場","","105"
"2021-12","桃園茶改場","","72.5"
"2021-11","桃園茶改場","","85"
"2021-10","桃園茶改場","","249"
"2021-09","桃園茶改場","","40"
"2021-08","桃園茶改場","","289.5"
"2021-07","桃園茶改場","","281"
"2021-06","桃園茶改場","","159.5"
"2021-05","桃園茶改場","","122"
"2021-04","桃園茶改場","","71"
"2021-03","桃園茶改場","","94.5"
"2021-02","桃園茶改場","","36"
"2021-01","桃園茶改場","","51"
"2020-12","桃園茶改場","","107.5"
"2020-11","桃園茶改場","","19.5"
"2020-10","桃園茶改場","","33"
"2020-09","桃園茶改場","","161.5"
"2020-08","桃園茶改場","","1955.5"
"2020-07","桃園茶改場","","27.5"
"2020-06","桃園茶改場","","31.5"
"2023-03","林試畢祿溪站","","50.5"
"2023-02","林試畢祿溪站","","10.5"
"2023-01","林試畢祿溪站","","24.5"
"2022-12","林試畢祿溪站","","54"
"2022-11","林試畢祿溪站","*","98"
"2022-10","林試畢祿溪站","","287.5"
"2022-09","林試畢祿溪站","","144.5"
"2022-08","林試畢祿溪站","","67"
"2022-07","林試畢祿溪站","","77.5"
"2022-06","林試畢祿溪站","","181.5"
"2022-05","林試畢祿溪站","","527"
"2022-04","林試畢祿溪站","","109.5"
"2022-03","林試畢祿溪站","","245.5"
"2022-02","林試畢祿溪站","","348.5"
"2022-01","林試畢祿溪站","","160.5"
"2021-12","林試畢祿溪站","","90.5"
"2021-11","林試畢祿溪站","","56.5"
"2021-10","林試畢祿溪站","","464.5"
"2021-09","林試畢祿溪站","*","62"
"2021-08","林試畢祿溪站","","322"
"2021-07","林試畢祿溪站","","71"
"2021-06","林試畢祿溪站","","237.5"
"2021-05","林試畢祿溪站","","153"
"2021-04","林試畢祿溪站","","29.5"
"2021-03","林試畢祿溪站","","81.5"
"2021-02","林試畢祿溪站","","27.5"
"2021-01","林試畢祿溪站","","27.5"
"2020-12","林試畢祿溪站","","無資料"
"2020-11","林試畢祿溪站","","無資料"
"2023-03","林試扇平站","","0"
"2023-02","林試扇平站","","5"
"2023-01","林試扇平站","*","3.5"
"2022-12","林試扇平站","","20.5"
"2022-11","林試扇平站","","4"
"2022-10","林試扇平站","","55"
"2022-09","林試扇平站","","3"
"2022-08","林試扇平站","","155"
"2022-07","林試扇平站","","242"
"2022-06","林試扇平站","","345.5"
"2022-05","林試扇平站","*","482"
"2022-04","林試扇平站","","20.5"
"2022-03","林試扇平站","","45"
"2022-02","林試扇平站","","46"
"2022-01","林試扇平站","","55.5"
"2021-12","林試扇平站","","21"
"2021-11","林試扇平站","","13.5"
"2021-10","林試扇平站","","128"
"2021-09","林試扇平站","","243.5"
"2021-08","林試扇平站","*","2459.5"
"2021-07","林試扇平站","","599"
"2021-06","林試扇平站","","1215.5"
"2021-05","林試扇平站","","187.5"
"2021-04","林試扇平站","","57"
"2023-03","林試太麻里2","","10.5"
"2023-02","林試太麻里2","","20"
"2023-01","林試太麻里2","","27.5"
"2022-12","林試太麻里2","","14"
"2022-11","林試太麻里2","","43.5"
"2022-10","林試太麻里2","","403.5"
"2022-09","林試太麻里2","","79"
"2022-08","林試太麻里2","","139"
"2022-07","林試太麻里2","","80.5"
"2022-06","林試太麻里2","","120"
"2022-05","林試太麻里2","","189"
"2022-04","林試太麻里2","","145"
"2022-03","林試太麻里2","","39.5"
"2022-02","林試太麻里2","","33"
"2022-01","林試太麻里2","","151.5"
"2021-12","林試太麻里2","","49"
"2021-11","林試太麻里2","","55"
"2021-10","林試太麻里2","","581.5"
"2021-09","林試太麻里2","","74"
"2021-08","林試太麻里2","","226"
"2021-07","林試太麻里2","","87.5"
"2021-06","林試太麻里2","","160"
"2021-05","林試太麻里2","","12.5"
"2021-04","林試太麻里2","","37.5"
"2023-03","林試太麻里1","","19"
"2023-02","林試太麻里1","","30"
"2023-01","林試太麻里1","","47.5"
"2022-12","林試太麻里1","","18"
"2022-11","林試太麻里1","","64.5"
"2022-10","林試太麻里1","","448"
"2022-09","林試太麻里1","","88.5"
"2022-08","林試太麻里1","","146.5"
"2022-07","林試太麻里1","","81"
"2022-06","林試太麻里1","","143.5"
"2022-05","林試太麻里1","","229"
"2022-04","林試太麻里1","","137.5"
"2022-03","林試太麻里1","","50.5"
"2022-02","林試太麻里1","","43.5"
"2022-01","林試太麻里1","","154.5"
"2021-12","林試太麻里1","","57"
"2021-11","林試太麻里1","","71.5"
"2021-10","林試太麻里1","","686.5"
"2021-09","林試太麻里1","","78"
"2021-08","林試太麻里1","","263.5"
"2021-07","林試太麻里1","","111.5"
"2021-06","林試太麻里1","","205.5"
"2021-05","林試太麻里1","","27"
"2021-04","林試太麻里1","","21.5"
"2023-03","林試六龜中心","","0.5"
"2023-02","林試六龜中心","","5.5"
"2023-01","林試六龜中心","","0.5"
"2022-12","林試六龜中心","","20"
"2022-11","林試六龜中心","","6.5"
"2022-10","林試六龜中心","","59"
"2022-09","林試六龜中心","","106"
"2022-08","林試六龜中心","","367"
"2022-07","林試六龜中心","","232.5"
"2022-06","林試六龜中心","","361"
"2022-05","林試六龜中心","","592.5"
"2022-04","林試六龜中心","","15"
"2022-03","林試六龜中心","","43"
"2022-02","林試六龜中心","","55.5"
"2022-01","林試六龜中心","","52.5"
"2021-12","林試六龜中心","","13"
"2021-11","林試六龜中心","","10"
"2021-10","林試六龜中心","","59"
"2021-09","林試六龜中心","","332.5"
"2021-08","林試六龜中心","","2013"
"2021-07","林試六龜中心","","662.5"
"2021-06","林試六龜中心","","1215"
"2021-05","林試六龜中心","","172.5"
"2021-04","林試六龜中心","","38"
"2023-03","東港工作站","","0"
"2023-02","東港工作站","","0"
"2023-01","東港工作站","","0"
"2022-12","東港工作站","","10.5"
"2022-11","東港工作站","","0.5"
"2022-10","東港工作站","","28"
"2022-09","東港工作站","","33.5"
"2022-08","東港工作站","","97.5"
"2022-07","東港工作站","","195.5"
"2022-06","東港工作站","","109"
"2022-05","東港工作站","","282"
"2022-04","東港工作站","","0"
"2022-03","東港工作站","","26"
"2022-02","東港工作站","","29"
"2022-01","東港工作站","","86"
"2021-12","東港工作站","","1.5"
"2021-11","東港工作站","","1.5"
"2021-10","東港工作站","","88.5"
"2021-09","東港工作站","","102"
"2021-08","東港工作站","","951"
"2021-07","東港工作站","","567"
"2021-06","東港工作站","","796.5"
"2021-05","東港工作站","","34"
"2021-04","東港工作站","29.5",""
"2017-12","東港","","XXX"
"2017-11","東港","","XXX"
"2017-10","東港","","XXX"
"2017-09","東港","","XXX"
"2017-08","東港","","XXX"
"2017-07","東港","","XXX"
"2017-06","東港","","XXX"
"2017-05","東港","","XXX"
"2017-04","東港","","XXX"
"2017-03","東港","","XXX"
"2017-02","東港","","XXX"
"2017-01","東港","","XXX"
"2016-12","東港","","XXX"
"2016-11","東港","","XXX"
"2016-10","東港","","XXX"
"2016-09","東港","","XXX"
"2016-08","東港","","XXX"
"2016-07","東港","","XXX"
"2016-06","東港","","XXX"
"2016-05","東港","","XXX"
"2016-04","東港","","XXX"
"2016-03","東港","","XXX"
"2016-02","東港","","XXX"
"2016-01","東港","","XXX"
"2015-12","東港","","XXX"
"2015-11","東港","","XXX"
"2015-10","東港","","XXX"
"2015-09","東港","","XXX"
"2015-08","東港","","XXX"
"2015-07","東港","","XXX"
"2015-06","東港","","XXX"
"2015-05","東港","","XXX"
"2015-04","東港","","XXX"
"2015-03","東港","","XXX"
"2015-02","東港","","XXX"
"2015-01","東港","","XXX"
"2014-12","東港","","XXX"
"2014-11","東港","","XXX"
"2014-10","東港","","XXX"
"2014-09","東港","","XXX"
"2014-08","東港","","XXX"
"2014-07","東港","","XXX"
"2014-06","東港","","XXX"
"2014-05","東港","","XXX"
"2014-04","東港","","XXX"
"2014-03","東港","","XXX"
"2014-02","東港","","XXX"
"2014-01","東港","","XXX"
"2013-12","東港","","無資料"
"2013-11","東港","","無資料"
"2013-10","東港","","無資料"
"2013-09","東港","","無資料"
"2013-08","東港","","無資料"
"2013-07","東港","","無資料"
"2013-06","東港","","無資料"
"2013-05","東港","","無資料"
"2013-04","東港","","無資料"
"2013-03","東港","","無資料"
"2013-02","東港","","無資料"
"2013-01","東港","","無資料"
"2012-12","東港","","無資料"
"2012-11","東港","","無資料"
"2012-10","東港","","7.5"
"2012-09","東港","","68"
"2012-08","東港","","851"
"2012-07","東港","","64.5"
"2012-06","東港","","1007"
"2012-05","東港","*","221"
"2012-04","東港","","117.5"
"2012-03","東港","","7"
"2012-02","東港","","49.5"
"2012-01","東港","","0"
"2011-12","東港","","21.5"
"2011-11","東港","","106"
"2011-10","東港","","75.5"
"2011-09","東港","","73"
"2011-08","東港","","294"
"2011-07","東港","","389.5"
"2011-06","東港","*","232.5"
"2011-05","東港","","152.5"
"2011-04","東港","","24.5"
"2011-03","東港","","9.5"
"2011-02","東港","","2"
"2011-01","東港","","11.5"
"2010-12","東港","","13.5"
"2010-11","東港","","13"
"2010-10","東港","","95.5"
"2010-09","東港","*","849"
"2010-08","東港","","220"
"2010-07","東港","","270"
"2010-06","東港","","306"
"2010-05","東港","","280"
"2010-04","東港","","54"
"2010-03","東港","","0.5"
"2010-02","東港","","9"
"2010-01","東港","","0"
"2023-03","旗南農改","","0"
"2023-02","旗南農改","","0"
"2023-01","旗南農改","","0"
"2022-12","旗南農改","*","23"
"2022-11","旗南農改","","0.5"
"2022-10","旗南農改","","100"
"2022-09","旗南農改","","130"
"2022-08","旗南農改","","453"
"2022-07","旗南農改","","123"
"2022-06","旗南農改","","216.5"
"2022-05","旗南農改","","289.5"
"2022-04","旗南農改","","4"
"2022-03","旗南農改","","24"
"2022-02","旗南農改","","43"
"2022-01","旗南農改","","33.5"
"2021-12","旗南農改","","10"
"2021-11","旗南農改","","4.5"
"2021-10","旗南農改","","69.5"
"2021-09","旗南農改","","173"
"2021-08","旗南農改","","1369"
"2021-07","旗南農改","","750"
"2021-06","旗南農改","","1192"
"2021-05","旗南農改","","20"
"2021-04","旗南農改","","17.5"
"2023-03","新竹畜試所","","29"
"2023-02","新竹畜試所","","19"
"2023-01","新竹畜試所","","6"
"2022-12","新竹畜試所","","11.5"
"2022-11","新竹畜試所","","16.5"
"2022-10","新竹畜試所","","10"
"2022-09","新竹畜試所","","156.5"
"2022-08","新竹畜試所","","47"
"2022-07","新竹畜試所","","41"
"2022-06","新竹畜試所","","249.5"
"2022-05","新竹畜試所","","480"
